gene,symbol,description,baseMean,log2FoldChange,lfcSE,pvalue,padj
AT3G01060,NA,NA,806.6996524857661,4.474492347033162,0.568671122916675,1.8009115250599315e-16,3.6434241063487475e-12
AT3G01550,ATPPT2,NA,226.59115367605312,6.789509533151232,0.8709006330742018,6.730352066304772e-16,4.538725088447062e-12
AT5G58770,AtcPT4,NA,360.5411534691126,4.714108755060651,0.6096780534691767,5.511930943110402e-16,4.538725088447062e-12
AT1G32900,GBSS1,NA,1270.1903388671558,4.495836670987609,0.598818638176946,2.976863237758949e-15,1.5056230040775325e-11
AT3G56290,NA,NA,714.9637108535611,4.873846538847207,0.6919689023046682,9.016957693003859e-14,3.648441421743221e-10
AT5G23660,AtSWEET12,homolog of the Medicago nodulin MTN3,1080.1361506412595,-3.904246941098095,0.5721207937367879,4.004882314112487e-13,1.3503795682801623e-9
AT4G39800,ATIPS1,"** Referred to as MIPS2 in Mitsuhashi et al 2008. myo-inositol-1-phosphate synthase isoform 1.Expressed in leaf, root and silique. Immunolocalization experiments with an antibody recognizing MIPS1, MIPS2, and MIPS3 showed endosperm localization.",1580.718198906114,3.9980366889662986,0.5908553908928309,6.314772759780898e-13,1.5969270962890915e-9
AT5G64940,abc1k8,Encodes a member of ATH subfamily of ATP-binding cassette (ABC) proteins.,2155.914178904181,3.629357160919432,0.5348135668214525,5.898797048392446e-13,1.5969270962890915e-9
AT1G65490,STMP5,NA,381.0615363818561,3.9835322755606817,0.5926787674003386,8.744963580279148e-13,1.8384835600115623e-9
AT2G15020,NA,NA,307.93890604044503,8.089722533157296,1.1872371981443737,9.087457664038172e-13,1.8384835600115623e-9
AT1G73600,AtPMT3,NA,2022.3631029642336,4.733152556693228,0.7199655768154408,2.252783181418112e-12,4.143277867569984e-9
AT1G01060,LHY,LHY encodes a myb-related putative transcription factor involved in circadian rhythm along with another myb transcription factor CCA1,588.2912110148729,5.754311752570822,0.8877571949748922,4.1364044927612675e-12,6.818229727283872e-9
AT2G31380,BBX25,a B-box zinc finger protein that interacts with COP1. contains a novel 11 amino acid motif at the C-terminus (also found at the N-terminus of HY5) that is involved in the COP1 interaction.,462.70835118412697,4.113593841414035,0.6351319345185369,4.381245932217406e-12,6.818229727283872e-9
AT5G60100,APRR3,"Encodes pseudo-response regulator 3 (APRR3/PRR3). PRR3 transcript levels vary in a circadian pattern with peak expression at dusk under long and short day conditions. PRR3 affects the period of the circadian clock and seedlings with reduced levels of PRR3 have shorter periods, based on transcriptional assays of clock-regulated genes. PRR3 is expressed in the vasculature of cotyledons and leaves where it may help stabilize the TOC1 protein by preventing interactions between TOC1 and the F-box protein ZTL.",180.12972535567604,-4.915950565324496,0.7644785053372599,5.0650202903101885e-12,7.319316106661818e-9
AT2G04039,NdhV,NA,837.8758425084905,3.4972514226633504,0.5577503894934472,1.7741340911276068e-11,2.2432816748501632e-8
AT5G42800,DFR,dihydroflavonol reductase. Catalyzes the conversion of dihydroquercetin to leucocyanidin in the biosynthesis of anthocyanins.,286.38231390777815,7.380370681965258,1.1698616928358376,1.6738039659226805e-11,2.2432816748501632e-8
AT5G41080,AtGDPD2,NA,1272.9554052094977,-3.5501437001011835,0.5908045642294092,7.886610704769963e-11,9.385530656953009e-8
AT2G19800,MIOX2,Encodes a myo-inositol oxygenase family gene.,1911.1876667468111,-3.360268651230458,0.5701446698561068,1.693613965158348e-10,1.903528007173252e-7
AT4G30270,MERI-5,"encodes a protein similar to endo xyloglucan transferase in sequence. It is also very similar to BRU1 in soybean, which is involved in brassinosteroid response.",11833.093636734817,-3.9956992711911914,0.6798476512132815,1.8055882716571444e-10,1.9225713854681945e-7
AT3G12320,LNK3,NA,632.334645357495,4.521328870242129,0.77175643457408,2.0971522237971206e-10,2.1213743319819777e-7
AT1G07010,AtSLP1,NA,628.9098611754432,3.3064958583606754,0.5670246495443065,2.614657271133359e-10,2.518911012014238e-7
AT4G19690,ATIRT1,Fe(II) transport protein (IRT1),266.88736713665367,4.4159843786501884,0.762653384108515,3.204514285711113e-10,2.946842205191888e-7
AT3G30775,AT-POX,"Encodes a proline oxidase that is predicted to localize to the inner mitochondrial membrane, its mRNA expression induced by high levels of Al and by osmotic stress.  The promoter contains an L-proline-inducible element.",9104.33459053483,-3.456871041361933,0.6005292791957896,3.7194457911159566e-10,3.271656860872475e-7
AT1G12610,ATDDF1,"Encodes a member of the DREB subfamily A-1 of ERF/AP2 transcription factor family (DDF1). The protein contains one AP2 domain. There are six members in this subfamily, including CBF1, CBF2, and CBF3. Overexpression of this gene results in delayed flowering and dwarfism, reduction of gibberellic acid biosynthesis, and increased tolerance to high levels of salt. This gene is expressed in all tissues examined, but most abundantly expressed in upper stems. Overexpression of this gene is also correlated with increased expression of GA biosynthetic genes and RD29A (a cold and drought responsive gene). Under salt stress it induces the expression of GAOX7, which encodes ad C20-GA inhibitor.",92.95569286750435,5.794022394141134,0.9930475459932174,4.5265148045762476e-10,3.650860557474947e-7
AT1G13650,NA,NA,297.609792449041,4.637769368852983,0.8105757025009055,4.691926968234323e-10,3.650860557474947e-7
AT1G73870,BBX16,NA,450.34185806733115,4.19588508184807,0.7325603769908451,4.5142628154382455e-10,3.650860557474947e-7
AT1G29920,AB165,Encodes lhcb1.1 a component of the LHCIIb light harvesting complex associated with photosystem II.,63365.418974597545,3.450636806641163,0.6076228090735318,8.008576860529633e-10,6.000796980199074e-7
AT5G48850,ATSDI1,"homologous to the wheat sulphate deficiency-induced gene sdi1. Expression in root and leaf is induced by sulfur starvation. Knockout mutants retained higher root and leaf sulfate concentrations, indicating a role in regulation of stored sulfate pools.",168.82806121471947,3.9529742493904503,0.7067632407673495,1.0844800578044474e-9,7.835755731943493e-7
AT5G14920,GASA14,NA,2105.315105768778,-3.650416043250016,0.6579216782356043,1.2382826981036835e-9,8.638516298391593e-7
AT4G14130,XTH15,xyloglucan endotransglycosylase-related protein (XTR7),1151.9889805431137,-4.971561657034325,0.9018853124405668,1.385704710545514e-9,9.344730666348766e-7
AT2G21330,AtFBA1,NA,18295.296087248087,3.295181106808966,0.5984936696737437,1.7464487124193184e-9,1.1397549645469431e-6
AT2G21660,ATGRP7,"Encodes a small glycine-rich RNA binding protein that is part of a negative-feedback loop through which AtGRP7 regulates the circadian oscillations of its own transcript.  Gene expression is induced by cold. GRP7 appears to promote stomatal opening and reduce tolerance under salt and dehydration stress conditions, but, promotes stomatal closing and thereby increases stress tolerance under conditions of cold tolerance. Loss of function mutations have increased susceptibility to pathogens suggesting a role in mediating innate immune response. Mutants are also late flowering in a non-photoperiodic manner and are responsive to vernalization suggesting an interaction with the autonomous flowering pathway.   There is a reduction of mRNA export from the nucleus in grp7 mutants. GRP7:GFP fusion proteins can be found in the cytosol and nucleus.  A substrate of the type III effector HopU1 (mono-ADP-ribosyltransferase).",15060.326404780148,-3.7961821070598862,0.6930089994905236,2.0019561732755054e-9,1.2656742294230235e-6
AT5G42760,NA,NA,111.92498818736628,6.554325790144631,1.1781467577774238,2.212953504185803e-9,1.3566746164600902e-6
AT5G44260,AtTZF5,NA,539.7593004441936,-3.2001428765871576,0.5882250934821891,2.379772111518598e-9,1.4160343996509637e-6
AT1G16730,UP6,NA,97.93594266270908,3.864931586715275,0.7101515122155416,2.619315596130987e-9,1.5140392521521717e-6
AT4G35770,ATSEN1,Senescence-associated gene that is strongly induced by phosphate starvation.  Transcripts are differentially regulated at the level of mRNA stability at different times of day. mRNAs are targets of the mRNA degradation pathway mediated by the downstream (DST) instability determinant.,31749.534314593177,-4.878139674759458,0.9109059889262008,3.0527554855319195e-9,1.7155637841054516e-6
AT1G02820,AtLEA3,NA,297.7174905343842,4.7665151567292,0.8931625581885511,4.088172941036304e-9,2.20912050908025e-6
AT1G26770,AT-EXP10,"Encodes an expansin. Naming convention from the Expansin Working Group (Kende et al, Plant Mol Bio).  Involved in the formation of nematode-induced syncytia in roots of Arabidopsis thaliana.",705.9722609177308,4.742225455169561,0.8902618526808982,4.149403358462235e-9,2.20912050908025e-6
AT4G02850,DAAR1,NA,90.7163306964092,3.949186072946912,0.7371448556856598,4.306278769654469e-9,2.233854507407168e-6
AT4G13420,ATHAK5,Encodes a protein of the KUP/HAK/KT potassium channel class that is upregulated in the roots by K levels.,106.46108011146,-4.902896982910516,0.9352291964713458,8.217700320914752e-9,4.156307379810659e-6
AT3G02380,ATCOL2,homologous to the flowering-time gene CONSTANS (CO) encoding zinc-finger proteins,580.9714600507604,5.298146125572091,1.0240074354737791,8.749774736653422e-9,4.317480309688668e-6
AT3G50770,CML41,NA,590.4703987703642,-3.847102467087602,0.7427170892794801,9.131744228217634e-9,4.398674225739785e-6
AT1G75100,AUXILIN-LIKE6,"Contains a J-domain at the C-terminus which is similar to the J-domain of auxilin, a clathrin-uncoating factor in cow, yeast and worm. Arabidopsis contains 6 other proteins similar to auxilin.  Expressed in leaves and stems, but not in roots. Localized in the cytoplasm. Required for the chloroplast accumulation response, but not for the avoidance response. No molecular function known.",481.21514837233747,2.962451747865691,0.5693347831698391,9.601162459888828e-9,4.517235295953741e-6
AT1G20840,AtTMT1,"The protein encoded by this gene is found in the tonoplast (vacuole membrane) of Arabidopsis cells. The gene is expressed at highest levels in juvenile (sink) and adult (source) leaves, followed by flower tissues.",1197.62461302509,-3.0087624508575117,0.5869857912709124,1.3759931539242368e-8,6.217605068430482e-6
AT1G30390,NA,NA,56.57301450953185,9.53101907392833,2.9424494104617085,1.3829876332330173e-8,6.217605068430482e-6
AT2G01008,NA,NA,1028.1762565953095,3.179902708855118,0.627834539214578,1.9249543543048013e-8,8.466032943900095e-6
AT2G39510,UMAMIT14,NA,180.89495276630444,3.330717107723528,0.660075084616438,2.0769230387331034e-8,8.940048935448812e-6
AT5G13630,ABAR,Encodes magnesium chelatase involved in plastid-to-nucleus signal transduction.,12348.444463876323,3.0123569240755925,0.5975740933913604,2.3102465291730217e-8,9.73720781910404e-6
AT1G44575,CP22,"Encoding PSII-S (CP22), a ubiquitous pigment-binding protein associated with photosystem II (PSII) of higher plants. Involved in nonphotochemical quenching rather than in photosynthesis. Mutant has a normal violaxanthin cycle but has a limited capacity of quenching singlet excited chlorophylls and is tolerant to lipid peroxidation.",13971.002060736237,2.7714903222405622,0.5506225285110238,2.5953758547486738e-8,1.069139188362212e-5
AT3G09600,LCL5,NA,209.1711762509753,3.8676697967451017,0.7747396145481781,2.642329070145351e-8,1.069139188362212e-5
AT4G17090,AtBAM3,"Encodes a beta-amylase targeted to the chloroplast. Transgenic BMY8 RNAi lines fail to accumulate maltose during cold shock suggesting that maltose accumulation coincides with BMY8 expression. Apart from maltose, the sugar content of the RNAi lines were similar to wildtype (glucose and sucrose unaffected).",1888.0689802817276,3.30893929930348,0.663334808547668,2.8883369224733213e-8,1.145763613305054e-5
AT1G48100,PGX3,NA,285.6173371306724,4.168535248648501,0.8457563095959572,3.4992047642200063e-8,1.361392530479518e-5
AT1G07180,ATNDI1,Internal NAD(P)H dehydrogenase in mitochondria. The predicted protein sequence has high homology with other designated NAD(P)H DHs from microorganisms; the capacity for matrix NAD(P)H oxidation via the rotenone-insensitive pathway is significantly reduced in the Atndi1 mutant plant line; the in vitro translation product of AtNDI1 is imported into isolated mitochondria and located on the inside of the inner membrane.,1093.8502992455385,3.746542514402563,0.7611409609196571,3.6728353801849027e-8,1.40198363351926e-5
AT1G23740,AOR,NA,1978.0031386327908,3.1415719257437735,0.6383257540444969,4.0482675355029444e-8,1.5166759353844454e-5
AT4G22880,ANS,"encodes leucoanthocyanidin dioxygenase, which is involved in proanthocyanin biosynthesis. Mutant analysis suggests that this gene is also involved in vacuole formation.",144.72546508797805,6.510666835996716,1.3350164238656783,5.4912578455748944e-8,1.9838149548897445e-5
AT4G35090,CAT2,"Encodes a peroxisomal catalase, highly expressed in bolts and leaves.  mRNA expression patterns show circadian regulation with mRNA levels being high in the subjective early morning. Loss of function mutations have increased H2O2 levels and increased H2O2  sensitivity. Mutants accumulate more toxic ions yet show decreased sensitivity to Li+. This decreased sensitivity is most likely due to an insensitivity to ethylene.  Note that in Queval et al. (2007) Plant Journal, 52(4):640, SALK_057998 is named as cat2-1, SALK_076998 is named as cat2-2; in Bueso et al. (2007) Plant Journal, 52(6):1052, SALK_076998 is named as cat2-1. TAIR has adopted the nomenclature consistent with that in Bueso et al. (2007) after consultation with the authors: SALK_076998 (cat2-1), SALK_057998 (cat2-2).",16041.999773920705,3.0698182316598106,0.6315049110020307,5.39748303739071e-8,1.9838149548897445e-5
AT1G17050,AtSPS2,Encodes a protein with solanesyl diphosphate synthase activity.,476.6719883789875,3.068138002011501,0.6327065041884518,5.842336648833231e-8,2.073619521799037e-5
AT3G54500,LNK2,NA,2209.388605496199,2.7572052973588095,0.5688185587684182,6.433801182496254e-8,2.24417640901865e-5
AT2G46830,AtCCA1,Encodes a transcriptional repressor that performs overlapping functions with LHY in a regulatory feedback loop that is closely associated with the circadian oscillator of Arabidopsis. Binds to the evening element in the promoter of TOC1 and represses TOC1 transcription. CCA1 and LHY colocalize in the nucleus and form heterodimers in vivo. CCA1 and LHY function synergistically in regulating circadian rhythms of Arabidopsis.,1284.8222825686903,4.616813637651044,0.982865330850022,1.0220256818467061e-7,3.504508740583171e-5
AT1G25025,NA,NA,155.2880565145066,4.74965028927971,1.0115981500303173,1.060764379694175e-7,3.576720694265475e-5
AT5G05580,AtFAD8,Encodes a temperature sensitive plastidic fatty acid desaturase.,714.7305060536111,3.1592983563162624,0.6718402138567082,1.159081265700484e-7,3.844159522358441e-5
AT5G66170,STR18,Encodes a thiosulfate sulfurtransferase/rhodanese.,974.402094439755,-3.598070692352371,0.774113531824937,1.356272441296822e-7,4.4256044773993565e-5
AT2G21320,BBX18,NA,187.5718856616482,3.9949931104143417,0.8708828291439598,1.882296872009921e-7,6.044563177402017e-5
AT1G70260,RTP1,NA,67.27154104909674,5.3822547614574745,1.166768054564167,2.042772801721643e-7,6.378764998226414e-5
AT4G36410,UBC17,ubiquitin-conjugating enzyme,449.1506454650407,-3.460360959263097,0.7584106197901583,2.0494277340947898e-7,6.378764998226414e-5
AT2G27420,NA,NA,200.20174250421593,6.3007651366952855,1.4026468572141997,2.826491192498504e-7,8.66405201749049e-5
AT1G45191,BGLU1,"beta-glucosidase related protein, similar to beta-glucosidase GI:3820531 from (Pinus contorta); contains Pfam profile: PF00232 Glycosyl hydrolase family 1",96.8406779375247,3.3918326260938008,0.7529735858766251,3.0057209885019946e-7,9.075931540057292e-5
AT5G63810,AtBGAL10,member of Glycoside Hydrolase Family 35,416.6840953962915,-2.95447663933826,0.6591816753615767,3.224313059059202e-7,9.59280551438628e-5
AT1G77210,AtSTP14,AtSTP14 belongs to the family of sugar transport proteins (AtSTPs)in volved in monosaccharide transport. Heterologous expression in yeast revealed that AtSTP14 is the transporter specifc for galactose and does not transport other monosaccharides such as glucose or fructose.,345.55848249812345,-3.0540988607899715,0.6865090488539632,3.621279595957547e-7,1.0617696739973497e-4
AT2G30766,FEP1,NA,220.22112995344213,4.3297118195018784,0.9856935644038328,4.350657075948577e-7,1.246547299288716e-4
AT5G57550,XTH25,xyloglucan endotransglycosylase-related protein (XTR3),442.2800109365012,-4.720363150551597,1.0841486179060742,4.3747149547476073e-7,1.246547299288716e-4
AT5G44610,MAP18,"Encodes a protein with seven repeated VEEKK motifs. RNAi and overexpression experiments suggest that the gene is not involved in cell division but might be consequential for cell shape of epidermal and cortical cells. The protein encoded by this gene binds to cortical microtubules and inhibits tubulin polymerization. Associates to the plasma membrane and interacts with calmodulin and phosphatidylinositol phosphates, indicating an involvement in cellular signal transduction. Expression is enhanced by abiotic and hormonal factors. Induced during senescence.",314.32444124150265,-2.749302617537573,0.6245443912350193,4.87581640329411e-7,1.3700366896533768e-4
AT3G62950,GRXC11,NA,163.0497570464565,-2.967521800186976,0.6786087392135536,5.156015199534148e-7,1.412161126029406e-4
AT5G07440,GDH2,Encodes the beta-subunit of the glutamate dehydrogenase. The enzyme is almost exclusively found in the mitochondria of stem and leaf companion cells.,11887.64063926415,-3.428346833852063,0.7873681646892997,5.165336529394299e-7,1.412161126029406e-4
AT1G55480,ZKT,"Encodes a member of a novel plant protein family containing a PDZ, a K-box, and a TPR motif. mRNA but not protein levels decrease after wounding. ZKT is phosphorylated at Thr and Ser residues after wounding.",1679.5642536940302,2.4415591143791495,0.5539650186968801,5.297313888452865e-7,1.4240428019933978e-4
AT2G30600,NA,NA,2401.3111423218097,-2.610472641576179,0.5966735130342614,5.349575055681787e-7,1.4240428019933978e-4
AT5G39580,NA,NA,673.8442913128009,-3.2554511083578017,0.751643486682042,5.750127549469224e-7,1.510790005887167e-4
AT1G75750,GASA1,GA-responsive GAST1 protein homolog regulated by BR and GA antagonistically.  Possibly involved in cell elongation based on expression data,4058.6048824890927,-2.920029197082562,0.6711243906508232,5.856542027336898e-7,1.5190218173724717e-4
AT4G38970,AtFBA2,Protein is tyrosine-phosphorylated and its phosphorylation state is modulated in response to ABA in Arabidopsis thaliana seeds.,41190.6675605286,2.6908209264132235,0.6166230147218118,6.048177802225386e-7,1.5488694318585035e-4
AT4G32340,NA,NA,809.6486244044698,-2.6358896359531196,0.6070906503267312,6.186789961506527e-7,1.564561846390482e-4
AT3G03770,NA,NA,286.8864424469702,3.045283208378316,0.705608640969675,6.838432707821443e-7,1.7080041001473533e-4
AT3G27690,DEG13,Encodes Lhcb2.4.  Belongs to the Lhc super-gene family encodes the light-harvesting chlorophyll a/b-binding (LHC) proteins that constitute the antenna system of the photosynthetic apparatus.,9583.56960831294,3.2361108866924035,0.7484335462549101,7.184757935453087e-7,1.7726199730750173e-4
AT2G39730,RCA,"Rubisco activase, a nuclear-encoded chloroplast protein that consists of two isoforms arising from alternative splicing in most plants. Required for the light activation of rubisco.",63151.35430555034,2.7232852427619267,0.6253914465758162,7.465915082277811e-7,1.8197943136091856e-4
AT1G64500,NA,NA,539.0883931757638,3.837638112372188,0.8997011511247281,7.749526310769113e-7,1.8444784328608223e-4
AT4G12830,NA,NA,230.78341105123533,3.7929028038332473,0.8888718388069469,7.668925492046329e-7,1.8444784328608223e-4
AT1G18990,NA,NA,97.37592844230456,5.845926295907438,1.3656442892864529,8.165922886941606e-7,1.9209858828571585e-4
AT2G41250,NA,NA,564.0888574703715,2.4246481710835064,0.5663497655878855,9.395366402237482e-7,2.1848006630306496e-4
AT5G48490,DEG15,NA,504.57211116057385,2.6906752789464607,0.6341298464422735,1.0227373598743812e-6,2.351249946320296e-4
AT3G56790,NA,NA,64.8045308717184,5.992620357914011,1.3847214274371518,1.078774736123019e-6,2.452212549045483e-4
AT2G32990,AtGH9B8,NA,154.79071607920838,3.725871835419305,0.8909390818441765,1.119243947962561e-6,2.488288385849513e-4
AT3G50060,MYB77,Encodes a member of the R2R3 transcription factor gene family. Expressed in response to potassium deprivation and auxin. Involved in lateral root development. Interacts with ARF7 and regulates the expression of some auxin responsive genes.,497.14603591557653,2.4874752777782474,0.5873993541760862,1.1147286063709976e-6,2.488288385849513e-4
AT1G44000,SGRL,NA,842.2859543944438,2.556578140817358,0.6055810539142915,1.1667324598021113e-6,2.565670042853969e-4
AT5G55570,NA,NA,63.08257178336093,3.708062045546472,0.8809076766428602,1.1913433409691082e-6,2.591620121628605e-4
AT1G29720,NA,NA,163.22377438358734,3.1460984407401864,0.7526235747622079,1.227404378492237e-6,2.639191849615825e-4
AT4G01883,MLBP1,NA,295.42948869948737,2.521081557415531,0.5999544939776273,1.239302188292736e-6,2.639191849615825e-4
AT4G15430,NA,NA,100.83612637969904,3.4953679786968532,0.8398444561715641,1.31573081304979e-6,2.772765633209407e-4
AT1G25230,NA,NA,501.6348188546758,-2.6735554261268724,0.6454677719505593,1.49959959646643e-6,3.1276700449600354e-4
AT1G74930,ORA47,"encodes a member of the DREB subfamily A-5 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 15 members in this subfamily including RAP2.1, RAP2.9 and RAP2.10.",295.8390577684426,3.8992907881121113,0.951204942751736,1.582657366168447e-6,3.267218487240189e-4
AT1G68290,AtBFN2,"Encodes a putative endonuclease but no demonstrable endonuclease activity, either towards single stranded DNA or mismatches, has been seen in vitro.",213.97835188140067,-0.3848382388893499,0.8236702787881406,1.637935690622767e-6,3.31088070582513e-4
AT2G05100,LHCB2,Lhcb2.1 protein encoding a subunit of the light harvesting complex II. Member of a gene family with high degree of sequence similarity. Initially LHCB2.3 was considered as a separate gene but appears to be an allele of LHCB2.1.,23936.456666298665,2.4268352239794844,0.5799991412344602,1.6253518405174617e-6,3.31088070582513e-4
AT3G53830,NA,NA,192.27612319386932,2.8350011335005494,0.6874345859033271,1.6529037184930952e-6,3.31088070582513e-4
AT1G08630,THA1,"Encodes a threonine aldolase, involved in threonine degradation to glycine. Primarily expressed in seeds and seedlings.",1897.96857635948,-4.234692275131267,1.0411312057927733,1.7043665966946965e-6,3.354411303341029e-4
AT4G13410,ATCSLA15,encodes a gene similar to cellulose synthase,44.32282186762296,4.505480994963228,1.0862376107615834,1.707796768543947e-6,3.354411303341029e-4
AT2G23000,scpl10,NA,179.59260427223631,4.006449035389616,0.984005690894444,1.810626041924378e-6,3.518453860745024e-4
AT5G15950,SAMDC2,NA,609.8746724390849,3.0711926374509777,0.7513088446081708,1.826096858179168e-6,3.518453860745024e-4
AT2G17880,DJC24,NA,569.0554765110165,-2.640778243849229,0.6466391539174023,1.9150325230857792e-6,3.6550021674102264e-4
AT1G26240,EXT19,NA,96.89926884902016,-3.723561566133689,0.92188193645927,2.1220590269163793e-6,4.0033639959422863e-4
AT4G35640,ATSERAT3;2,Encodes a cytosolic serine O-acetyltransferase involved in sulfur assimilation and cysteine biosynthesis.  Expressed in the vascular system.  Expression is induced in both roots and shoots under sulfur-starved conditions.,38.89352386214203,4.573188981369773,1.109140716171827,2.1371326754078738e-6,4.0033639959422863e-4
AT3G28290,AT14A,Encodes a protein with sequence similarity to integrins. Localized to the cytoplasm and plasma membrane. Expressed in all tissues assayed.,148.0215055289305,-2.7079656394316456,0.669892757744999,2.2287477224640475e-6,4.1366784562541414e-4
AT5G22920,AtRZPF34,NA,1446.9140536090338,-2.4324870560386307,0.6012572476876521,2.3004511203307757e-6,4.230947874128356e-4
AT3G02830,PNT1,Encodes a zinc finger protein.,1079.0102691925622,2.348421277265412,0.5758996925430695,2.342679834256633e-6,4.269797813229365e-4
AT5G35970,NA,NA,1825.630824727652,2.472329264136659,0.6109006093559488,2.553426690620861e-6,4.612354944459879e-4
AT5G59130,NA,NA,118.85894138656036,3.168415774938454,0.7945481649544359,2.838400104072145e-6,5.081740929688811e-4
AT1G14870,AtPCR2,NA,1539.4758165667836,-2.2497353665568864,0.5610472821481398,2.896140077542354e-6,5.139632448136786e-4
AT5G06980,LNK4,NA,855.5839492940743,3.1101963225528104,0.7879026511568019,3.218311493400381e-6,5.661709549824618e-4
AT1G77380,AAP3,Amino acid permease which transports basic amino acids.,176.19456964937314,-3.023179170308629,0.7725256420052921,3.6539253829154e-6,6.372634863944954e-4
AT5G49152,NA,NA,24.636268379204616,4.252734897728961,1.090519435445675,3.848251668564793e-6,6.654186282626865e-4
AT1G67265,DVL3,NA,69.19592645634918,-4.638289176174085,1.2068701635000545,4.019245454567895e-6,6.823072020856203e-4
AT2G40100,LHCB4.3,"Lhcb4:3 protein (Lhcb4.3, light harvesting complex of photosystem II",1198.7841369089622,2.3406823990802073,0.5942968498886605,4.047099216562426e-6,6.823072020856203e-4
AT4G36648,NA,NA,1208.863805915615,-2.4854245145528493,0.6359335034487626,4.006020520140066e-6,6.823072020856203e-4
AT4G27030,FAD4,Encodes an unusual palmitate desaturase that is highly substrate specific. It introduces a delta-3 trans double bond at palmitate at the sn-2 position of phosphatidylglycerol.,351.97358417626526,3.1597423747845466,0.8159760039461061,4.284726229599541e-6,7.163991433969283e-4
AT4G26260,MIOX4,Encodes a myo-inositol oxygenase.,130.03552835747502,-3.4084791824855336,0.8869880221873812,4.377771598628519e-6,7.259565345233899e-4
AT1G52200,NA,NA,530.4283631684232,-2.342918845535413,0.6039640995671532,4.6308497080725205e-6,7.555380680968964e-4
AT2G26080,AtGLDP2,NA,7607.917367104318,2.1470761961894262,0.5434597407194971,4.616547757495281e-6,7.555380680968964e-4
AT2G18440,NA,NA,1129.1034658207918,-2.1667352736312324,0.5634197995861654,5.613858408682914e-6,9.085917557285124e-4
AT1G29700,NA,NA,541.7943712706872,2.3337840068110265,0.6065891228493406,5.754267750982521e-6,9.14542733234288e-4
AT1G48405,NA,NA,45.490583786679125,5.409857560553,1.3833700215679272,5.797463375525698e-6,9.14542733234288e-4
AT3G63052,NA,NA,49.20254118756098,3.375712680986853,0.8813775792236228,5.780813859238698e-6,9.14542733234288e-4
AT5G43580,UPI,"Predicted to encode a PR (pathogenesis-related) peptide that belongs to the PR-6 proteinase inhibitor family.  Six putative PR-6-type protein encoding genes are found in Arabidopsis: At2g38900, At2g38870, At5g43570, At5g43580, At3g50020 and At3g46860.",1031.2536872717317,-3.2259188032896335,0.8555703602099918,5.831447411755383e-6,9.14542733234288e-4
AT5G64840,ABCF5,member of GCN subfamily,2928.4677910425844,2.3231564552449195,0.6069171981562048,6.182514975050347e-6,9.621420035403352e-4
AT5G54585,NA,NA,160.90680328940937,3.4963974408337672,0.928945130668108,6.234826865110698e-6,9.628762008248438e-4
AT1G09340,CRB,"Encodes CHLOROPLAST RNA BINDING (CRB), a putative RNA-binding protein.  CRB is important for the proper functioning of the chloroplast.  Mutations in CRB also affects the circadian system, altering the expression of both oscillator and output genes.",7323.816115155912,2.243657052459907,0.5863105159965698,6.505587836266111e-6,9.895830640263136e-4
AT1G09350,AtGolS3,NA,96.63901396281295,4.141472358228649,1.1034455621521446,6.483399796987549e-6,9.895830640263136e-4
AT4G09350,CRRJ,NA,152.29562708248366,3.3280023891885087,0.8862435656409947,6.650261610399604e-6,0.00100404061671637
AT1G15980,NDF1,"encodes a novel subunit of the chloroplast NAD(P)H dehydrogenase complex, involved in cyclic electron flow around photosystem I to produce ATP.",1579.3930169788189,2.498149132390985,0.6609500004247636,7.040348652681045e-6,0.00103212531588688
AT3G01290,AtHIR2,NA,2291.628129861287,-2.170318357790457,0.572856173464442,6.970418484991229e-6,0.00103212531588688
AT3G27170,ATCLC-B,member of Anion channel protein family,242.15092531047472,2.3759262754000035,0.6284518601015803,7.034691288010552e-6,0.00103212531588688
AT5G19730,NA,NA,237.56289448352217,2.7592935124955265,0.7316167581497213,6.890809474935806e-6,0.00103212531588688
AT5G43620,NA,NA,194.78476312021297,3.0686772912925457,0.8264683114770748,8.1350085296322e-6,0.00118402415512941
AT2G34460,NA,NA,830.2475824639738,2.2306311584986487,0.5942049123377035,8.348933225043392e-6,0.00120648048625609
AT2G35660,CTF2A,Encodes a member of a novel gene family with  homology to known proteins involved in hydroxylation and oxidation of an aromatic ring.,188.2333844578958,2.3941027599320797,0.6408464734676923,8.425353343971244e-6,0.00120888881916228
AT1G22740,ATRABG3B,GTP-binding protein Rab7,265.7006856924784,-2.620905655005787,0.7081801462226143,8.749598111634695e-6,0.0012465712633555
AT5G58570,NA,NA,122.6983975532808,-2.7501612390195733,0.74211845330735,9.006306746073115e-6,0.00127417197048814
AT3G01500,ATBCA1,Encodes a putative beta-carbonic anhydrase betaCA1.  Together with betaCA4 (At1g70410) regulates CO2-controlled stomatal movements in guard cells.,32459.83170666916,2.44678731997998,0.6532588879667549,9.15063264264976e-6,0.00128560034023227
AT5G17300,RVE1,Myb-like transcription factor that regulates hypocotyl growth by  regulating free auxin levels in a time-of-day specific manner.,459.345820676506,2.8425757667221885,0.7704392791516097,9.253261956447056e-6,0.00129105339752331
AT5G43750,NDH18,NA,1114.843146478538,2.045661858196254,0.5479925453638166,9.509082059813271e-6,0.00131765917227453
